countryPair,scoreSum,Country1,Country2,same
CHL-CHL,2576,CHL,CHL,True
MAD-MAD,2570,MAD,MAD,True
MAL-MAL,2554,MAL,MAL,True
BNG-BNG,2546,BNG,BNG,True
BRU-BRU,2539,BRU,BRU,True
INS-INS,2531,INS,INS,True
ECU-ECU,2530,ECU,ECU,True
VEN-VEN,2524,VEN,VEN,True
GUY-GUY,2521,GUY,GUY,True
PHI-PHI,2515,PHI,PHI,True
SRI-SRI,2510,SRI,SRI,True
MEX-MEX,2508,MEX,MEX,True
PER-PER,2507,PER,PER,True
THI-THI,2500,THI,THI,True
SEN-SEN,2498,SEN,SEN,True
JAM-JAM,2491,JAM,JAM,True
BRU-MAL,2478,BRU,MAL,False
MAL-BRU,2478,MAL,BRU,False
BOL-BOL,2477,BOL,BOL,True
OMA-OMA,2470,OMA,OMA,True
KUW-KUW,2470,KUW,KUW,True
QAT-QAT,2469,QAT,QAT,True
SUD-SUD,2469,SUD,SUD,True
SIN-SIN,2469,SIN,SIN,True
TUN-TUN,2469,TUN,TUN,True
BNG-BRU,2467,BNG,BRU,False
BRA-BRA,2467,BRA,BRA,True
BRU-BNG,2467,BRU,BNG,False
BNG-MAL,2463,BNG,MAL,False
COS-COS,2463,COS,COS,True
MAL-BNG,2463,MAL,BNG,False
COL-COL,2462,COL,COL,True
ALG-ALG,2461,ALG,ALG,True
BAH-BAH,2458,BAH,BAH,True
MAL-INS,2452,MAL,INS,False
INS-MAL,2452,INS,MAL,False
LIB-LIB,2451,LIB,LIB,True
JOR-JOR,2450,JOR,JOR,True
URU-URU,2448,URU,URU,True
DJI-DJI,2448,DJI,DJI,True
PAN-PAN,2445,PAN,PAN,True
NIG-NIG,2445,NIG,NIG,True
NEP-NEP,2444,NEP,NEP,True
BRU-INS,2443,BRU,INS,False
MOR-MOR,2443,MOR,MOR,True
INS-BRU,2443,INS,BRU,False
MAL-MAD,2436,MAL,MAD,False
MAD-MAL,2436,MAD,MAL,False
INS-BNG,2433,INS,BNG,False
BNG-INS,2433,BNG,INS,False
BNG-MAD,2429,BNG,MAD,False
MAD-BNG,2429,MAD,BNG,False
UAE-UAE,2426,UAE,UAE,True
SAU-SAU,2419,SAU,SAU,True
MAD-BRU,2418,MAD,BRU,False
BRU-MAD,2418,BRU,MAD,False
SRI-BNG,2415,SRI,BNG,False
BNG-SRI,2415,BNG,SRI,False
BHM-BHM,2415,BHM,BHM,True
PER-CHL,2410,PER,CHL,False
OMA-QAT,2410,OMA,QAT,False
QAT-OMA,2410,QAT,OMA,False
CHL-PER,2410,CHL,PER,False
PHI-THI,2409,PHI,THI,False
THI-PHI,2409,THI,PHI,False
BRU-SRI,2408,BRU,SRI,False
SRI-BRU,2408,SRI,BRU,False
MAL-SRI,2405,MAL,SRI,False
EGY-EGY,2405,EGY,EGY,True
SRI-MAL,2405,SRI,MAL,False
MLI-MLI,2404,MLI,MLI,True
TRI-TRI,2403,TRI,TRI,True
SRI-INS,2400,SRI,INS,False
INS-SRI,2400,INS,SRI,False
KUW-QAT,2400,KUW,QAT,False
QAT-KUW,2400,QAT,KUW,False
NIC-NIC,2396,NIC,NIC,True
MAL-QAT,2396,MAL,QAT,False
QAT-MAL,2396,QAT,MAL,False
BAH-QAT,2396,BAH,QAT,False
QAT-BAH,2396,QAT,BAH,False
THI-MAD,2394,THI,MAD,False
MAD-THI,2394,MAD,THI,False
MAS-MAS,2394,MAS,MAS,True
INS-MAD,2392,INS,MAD,False
MAD-INS,2392,MAD,INS,False
